epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9244,1.64489,4.51826,2.10809,0.7081,0.29612,0.35181,0.18587,1.89642,3.46802,2.86953,0.0748,0.0028,0.0028
2,140.447,1.46125,2.32745,1.86408,0.67513,0.27749,0.32899,0.18765,1.86771,5.78997,2.79238,0.0486436,0.00564357,0.00564357
3,214.221,1.44089,1.97643,1.78499,0.28543,0.26759,0.26845,0.11998,2.04159,3.36214,2.91992,0.0224297,0.00842972,0.00842972
4,293.846,1.50282,1.78697,1.80455,0.22825,0.21438,0.16662,0.09497,2.24759,2.2547,3.40748,0.009703,0.009703,0.009703
5,381.536,1.51633,1.71828,1.80875,0.36831,0.25237,0.18893,0.09772,2.58413,2.92245,3.2393,0.009604,0.009604,0.009604
6,466.776,1.52067,1.65866,1.76654,0.66753,0.13371,0.1094,0.05618,2.41389,3.6263,3.3856,0.009505,0.009505,0.009505
7,555.317,1.51326,1.55834,1.81011,0.31169,0.126,0.10396,0.05708,2.27762,3.74134,3.33227,0.009406,0.009406,0.009406
8,641.706,1.52104,1.54421,1.88133,0.53082,0.22689,0.25401,0.11509,2.14832,2.39994,3.28558,0.009307,0.009307,0.009307
9,731.257,1.48514,1.58251,1.76752,0.32058,0.224,0.19409,0.09281,2.20632,3.12366,3.18335,0.009208,0.009208,0.009208
10,828.935,1.45917,1.48472,1.7282,0.39542,0.33647,0.2897,0.15208,2.37618,3.64813,3.11643,0.009109,0.009109,0.009109
11,924.852,1.45279,1.33896,1.77272,0.70681,0.2163,0.23588,0.13285,2.55736,3.90936,3.41735,0.00901,0.00901,0.00901
12,1022,1.42396,1.3749,1.76547,0.44844,0.26553,0.17735,0.09383,2.17175,2.18809,2.9649,0.008911,0.008911,0.008911
13,1118.01,1.43856,1.3403,1.74229,0.4575,0.27022,0.22978,0.12389,2.15948,2.07394,3.14412,0.008812,0.008812,0.008812
14,1211.02,1.41525,1.30916,1.72389,0.49564,0.34061,0.28119,0.15579,2.1115,1.48191,3.28869,0.008713,0.008713,0.008713
15,1304.47,1.35802,1.27034,1.70469,0.52583,0.33893,0.36241,0.19899,2.03486,1.69311,3.09811,0.008614,0.008614,0.008614
16,1399.27,1.39353,1.24961,1.72333,0.41598,0.38263,0.33097,0.17207,2.11672,2.0759,3.00843,0.008515,0.008515,0.008515
17,1499.47,1.37925,1.19938,1.65351,0.55594,0.32558,0.27424,0.13779,2.38,2.1597,3.27656,0.008416,0.008416,0.008416
18,1600.2,1.33294,1.18583,1.64711,0.58511,0.42726,0.43498,0.24415,2.01669,1.32507,3.19029,0.008317,0.008317,0.008317
19,1697.51,1.30192,1.14462,1.6241,0.50616,0.57883,0.51803,0.30852,2.09835,1.39234,3.23206,0.008218,0.008218,0.008218
20,1796.31,1.23285,1.04823,1.56377,0.80949,0.50526,0.59103,0.32697,2.24124,1.48511,3.61987,0.008119,0.008119,0.008119
21,1895.71,1.28853,1.03726,1.60246,0.54213,0.59278,0.56675,0.30653,2.25099,1.68995,3.15135,0.00802,0.00802,0.00802
22,1993.96,1.26408,1.08859,1.59877,0.53551,0.56251,0.51504,0.28318,2.34935,1.69804,3.45127,0.007921,0.007921,0.007921
23,2102.02,1.28605,1.0905,1.6031,0.67679,0.43068,0.40904,0.22493,2.12919,1.81728,3.11102,0.007822,0.007822,0.007822
24,2203.24,1.22166,1.02364,1.54159,0.6872,0.65455,0.66088,0.38876,2.04034,1.41145,3.05307,0.007723,0.007723,0.007723
25,2306.08,1.20198,1.00545,1.54451,0.67037,0.65479,0.63016,0.32411,2.08276,1.49892,3.28199,0.007624,0.007624,0.007624
26,2409.17,1.20184,0.9688,1.54991,0.62345,0.64434,0.57958,0.315,2.01142,1.59948,3.11625,0.007525,0.007525,0.007525
27,2509.02,1.17577,0.89409,1.54657,0.74575,0.62563,0.67371,0.37211,1.94529,1.32653,3.01295,0.007426,0.007426,0.007426
28,2617.87,1.22501,0.96329,1.56585,0.54045,0.56786,0.57905,0.31507,1.97148,2.45216,2.62443,0.007327,0.007327,0.007327
29,2717.68,1.15684,0.92463,1.50896,0.71985,0.61848,0.67046,0.38155,1.9141,1.30135,2.79813,0.007228,0.007228,0.007228
30,2817.33,1.15298,0.90388,1.51188,0.75476,0.6977,0.73977,0.39728,1.99738,1.25394,2.96264,0.007129,0.007129,0.007129
31,2921.85,1.11629,0.86992,1.45953,0.63569,0.68085,0.66884,0.34774,2.00544,1.33885,3.04944,0.00703,0.00703,0.00703
32,3031.7,1.08693,0.83021,1.44508,0.69963,0.68313,0.69504,0.38882,1.96826,1.34967,3.07979,0.006931,0.006931,0.006931
33,3134.14,1.10481,0.84086,1.477,0.63664,0.73443,0.67789,0.37635,1.93085,1.26436,2.86757,0.006832,0.006832,0.006832
34,3242.52,1.10218,0.81453,1.44887,0.74827,0.70277,0.71332,0.35273,2.0394,1.31864,3.13178,0.006733,0.006733,0.006733
35,3354.09,1.07862,0.80343,1.44911,0.65598,0.72438,0.68991,0.35247,2.0385,1.28912,3.36262,0.006634,0.006634,0.006634
